diferencia	tratamiento	conejo	tiempo
-0.3	Amiodarone	1	0
-0.5	Amiodarone	2	0
-1.1	Amiodarone	3	0
1.0	Amiodarone	4	0
-0.3	Amiodarone	5	0
-1.1	Excipiente	1	0
-1.4	Excipiente	2	0
-0.1	Excipiente	3	0
-0.2	Excipiente	4	0
-0.1	Excipiente	5	0
-1.8	Salina	1	0
-0.5	Salina	2	0
-1.0	Salina	3	0
0.4	Salina	4	0
-0.5	Salina	5	0
-0.2	Amiodarone	1	30
2.2	Amiodarone	2	30
2.4	Amiodarone	3	30
1.7	Amiodarone	4	30
0.8	Amiodarone	5	30
-2.2	Excipiente	1	30
-0.2	Excipiente	2	30
-0.1	Excipiente	3	30
0.1	Excipiente	4	30
-0.2	Excipiente	5	30
0.2	Salina	1	30
0.0	Salina	2	30
-0.3	Salina	3	30
0.4	Salina	4	30
0.9	Salina	5	30
1.2	Amiodarone	1	60
3.3	Amiodarone	2	60
2.2	Amiodarone	3	60
2.1	Amiodarone	4	60
0.6	Amiodarone	5	60
0.2	Excipiente	1	60
-0.5	Excipiente	2	60
-0.5	Excipiente	3	60
-0.2	Excipiente	4	60
0.7	Excipiente	5	60
0.1	Salina	1	60
1.0	Salina	2	60
-2.1	Salina	3	60
-0.7	Salina	4	60
-0.4	Salina	5	60
3.1	Amiodarone	1	90
3.7	Amiodarone	2	90
2.7	Amiodarone	3	90
2.5	Amiodarone	4	90
0.9	Amiodarone	5	90
0.3	Excipiente	1	90
-0.1	Excipiente	2	90
-0.3	Excipiente	3	90
0.4	Excipiente	4	90
-0.3	Excipiente	5	90
0.6	Salina	1	90
0.5	Salina	2	90
0.6	Salina	3	90
-0.3	Salina	4	90
-0.3	Salina	5	90
